Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Chosen_Threshold,Ranking_Score
XGBoost_default_0.50,0.8581818181818182,0.6,0.7281553398058253,0.6578947368421053,0.895669077561304,0.676868753514822,0.5,0.6894633738345816
XGBoost_tuned_0.52,0.86,0.6083333333333333,0.7087378640776699,0.6547085201793722,0.895669077561304,0.676868753514822,0.5200000000000002,0.6800270005916216
GradientBoosting_tuned_0.32,0.8654545454545455,0.6407766990291263,0.6407766990291263,0.6407766990291263,0.878141221954345,0.6696640501098127,0.32,0.6451098016912292
RandomForest_default_0.50,0.84,0.5652173913043478,0.6310679611650486,0.5963302752293578,0.8819204621967377,0.6093461019642976,0.5,0.6123589637144091
RandomForest_tuned_0.54,0.84,0.5728155339805825,0.5728155339805825,0.5728155339805825,0.8819204621967377,0.6093461019642976,0.5400000000000003,0.5782951191781398
GradientBoosting_default_0.50,0.8690909090909091,0.803921568627451,0.39805825242718446,0.5324675324675324,0.878141221954345,0.6696640501098127,0.5,0.5061355359037139
