,precision,recall,f1-score,support
0,0.9341176470588235,0.8881431767337807,0.9105504587155964,447.0
1,0.6,0.7281553398058253,0.6578947368421053,103.0
accuracy,0.8581818181818182,0.8581818181818182,0.8581818181818182,0.8581818181818182
macro avg,0.7670588235294118,0.808149258269803,0.7842225977788508,550.0
weighted avg,0.8715465240641712,0.8581818181818182,0.8632349326192881,550.0
