Subset,N,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Inside_AD,511,0.8649706457925636,0.6513761467889908,0.696078431372549,0.6729857819905213,0.8877582817968263,0.6667189856501411
Outside_AD,39,0.8974358974358975,0.0,0.0,0.0,0.368421052631579,0.04
