Threshold,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Selection_Score
0.3,0.8227272727272728,0.5233644859813084,0.6746987951807228,0.5894736842105263,-1.0
0.32,0.8227272727272728,0.5233644859813084,0.6746987951807228,0.5894736842105263,-1.0
0.34,0.8272727272727273,0.5339805825242718,0.6626506024096386,0.5913978494623656,-1.0
0.36000000000000004,0.8295454545454546,0.5416666666666666,0.6265060240963856,0.5810055865921788,-1.0
0.38000000000000006,0.8318181818181818,0.5483870967741935,0.6144578313253012,0.5795454545454546,-1.0
0.4000000000000001,0.8386363636363636,0.5666666666666667,0.6144578313253012,0.5895953757225434,-1.0
0.4200000000000001,0.8409090909090909,0.5764705882352941,0.5903614457831325,0.5833333333333334,-1.0
0.4400000000000001,0.8409090909090909,0.5783132530120482,0.5783132530120482,0.5783132530120482,-1.0
0.46000000000000013,0.8431818181818181,0.5853658536585366,0.5783132530120482,0.5818181818181818,0.5805957310394572
0.48000000000000015,0.8454545454545455,0.5925925925925926,0.5783132530120482,0.5853658536585366,0.5829148572610224
0.5000000000000002,0.8477272727272728,0.6,0.5783132530120482,0.588957055214724,0.5852716387020476
0.5200000000000002,0.85,0.6103896103896104,0.5662650602409639,0.5875,0.5802332381473948
0.5400000000000003,0.8545454545454545,0.6266666666666667,0.5662650602409639,0.5949367088607594,0.5852074627624422
0.5600000000000003,0.8545454545454545,0.6338028169014085,0.5421686746987951,0.5844155844155844,0.5703431982916117
0.5800000000000003,0.8545454545454545,0.6376811594202898,0.5301204819277109,0.5789473684210527,0.5628486485989727
0.6000000000000003,0.8545454545454545,0.6417910447761194,0.5180722891566265,0.5733333333333334,0.555311634598094
0.6200000000000003,0.8590909090909091,0.6615384615384615,0.5180722891566265,0.581081081081081,0.5607728627608145
0.6400000000000003,0.8545454545454545,0.6507936507936508,0.4939759036144578,0.5616438356164384,0.5401082477332684
0.6600000000000004,0.8545454545454545,0.6507936507936508,0.4939759036144578,0.5616438356164384,0.5401082477332684
0.6800000000000004,0.85,0.6440677966101694,0.4578313253012048,0.5352112676056338,0.5112759464690944
0.7000000000000004,0.8477272727272728,0.6428571428571429,0.43373493975903615,0.5179856115107914,0.49255996235713667
