Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC,Brier,Threshold,Feature_Count,Ranking_Score
XGBoost_top60_0.50,0.8672727272727273,0.6339285714285714,0.6893203883495146,0.6604651162790698,0.884114159119046,0.6496334973532553,0.1067179396956068,0.5,60,0.6704984186293728
XGBoost_top60_0.38,0.8363636363636363,0.5481481481481482,0.7184466019417476,0.6218487394957983,0.884114159119046,0.6496334973532553,0.1067179396956068,0.38000000000000006,60,0.6658004617077116
XGBoost_top110_0.50,0.88,0.6907216494845361,0.6504854368932039,0.67,0.8869811689581025,0.65929572869413,0.09862872802584773,0.5,110,0.6606488883802881
XGBoost_top40_0.48,0.86,0.6160714285714286,0.6699029126213593,0.641860465116279,0.8797484850459373,0.6328006673400222,0.10902135571243064,0.48000000000000015,40,0.6518311449998841
XGBoost_top80_0.50,0.8654545454545455,0.638095238095238,0.6504854368932039,0.6442307692307693,0.8858951803827023,0.6653373820356022,0.10160580823732844,0.5,80,0.6499045850428132
XGBoost_top80_0.50,0.8654545454545455,0.638095238095238,0.6504854368932039,0.6442307692307693,0.8858951803827023,0.6653373820356022,0.10160580823732844,0.5000000000000002,80,0.6499045850428132
XGBoost_top110_0.54,0.8818181818181818,0.7111111111111111,0.6213592233009708,0.6632124352331606,0.8869811689581025,0.65929572869413,0.09862872802584773,0.5400000000000003,110,0.6461859176767182
XGBoost_top40_0.50,0.86,0.6203703703703703,0.6504854368932039,0.6350710900473934,0.8797484850459373,0.6328006673400222,0.10902135571243064,0.5,40,0.6409319467380514
