Model,Accuracy,Precision_toxic,Recall_toxic,F1_toxic,ROC_AUC,PR_AUC,Brier,True_GO,False_NO_GO,False_GO,True_NO_GO,GO_Precision,GO_Recall,NO_GO_Precision,NO_GO_Recall,Toxic_Stopped_Fraction,NonToxic_Allowed_Fraction,Subset,N
Inside_AD,0.8649706457925636,0.6513761467889908,0.696078431372549,0.6729857819905213,0.8877582817968263,0.6667189856501411,0.10810460700171255,371,38,31,71,0.9228855721393034,0.9070904645476773,0.6513761467889908,0.696078431372549,0.696078431372549,0.9070904645476773,Inside_AD,511
Outside_AD,0.8974358974358975,0.0,0.0,0.0,0.368421052631579,0.04,0.08854904242842632,35,3,1,0,0.9722222222222222,0.9210526315789473,0.0,0.0,0.0,0.9210526315789473,Outside_AD,39
