,precision,recall,f1-score,support
0,0.9269406392694064,0.9082774049217002,0.9175141242937853,447.0
1,0.6339285714285714,0.6893203883495146,0.6604651162790698,103.0
accuracy,0.8672727272727273,0.8672727272727273,0.8672727272727273,0.8672727272727273
macro avg,0.7804346053489889,0.7987988966356074,0.7889896202864275,550.0
weighted avg,0.8720674702010318,0.8672727272727273,0.8693758555201204,550.0
