Seed,Objective,Test_Fraction,Test_Prevalence,Development_Prevalence,Development_N,Test_N
402,0.012414718507787637,0.19644180874722017,0.17735849056603772,0.18265682656826568,2168,530
194,0.016196055317116848,0.19199406968124536,0.18146718146718147,0.181651376146789,2180,518
439,0.02272487323535241,0.1927353595255745,0.175,0.18319559228650137,2178,520
464,0.024033315449138642,0.18865826538176428,0.18271119842829076,0.18136135221562358,2189,509
408,0.03318639737681334,0.18606375092661231,0.17729083665338646,0.1826047358834244,2196,502
186,0.0333091233101227,0.18346923647146035,0.18181818181818182,0.18157058556513844,2203,495
305,0.03391202848625527,0.19088213491475167,0.16893203883495145,0.18460833715071004,2183,515
73,0.034886133380116396,0.18754633061527057,0.18972332015810275,0.17974452554744524,2192,506
376,0.036117397322779465,0.18791697553743514,0.1913214990138067,0.179370150616157,2191,507
234,0.037768070500556,0.18643439584877688,0.17296222664015903,0.18359908883826878,2195,503
519,0.03870357647055653,0.18532246108228317,0.174,0.18334849863512284,2198,500
102,0.03901279079429565,0.1849518161601186,0.1743486973947896,0.18326512050932242,2199,499
139,0.03932068052518725,0.18458117123795403,0.1746987951807229,0.1831818181818182,2200,498
428,0.03940036945630315,0.1927353595255745,0.16153846153846155,0.18640955004591367,2178,520
418,0.039592677604413234,0.18458117123795403,0.18875502008032127,0.18,2200,498
451,0.04037606117154513,0.18902891030392885,0.16666666666666666,0.18510054844606946,2188,510
116,0.04173507181259076,0.1816160118606375,0.17755102040816326,0.182518115942029,2208,490
392,0.04199985398342787,0.18383988139362492,0.18951612903225806,0.17983651226158037,2202,496
406,0.042883160193694564,0.18050407709414382,0.18480492813141683,0.18091361374943465,2211,487
302,0.04426945513113556,0.1816160118606375,0.18775510204081633,0.1802536231884058,2208,490
489,0.045494845381095744,0.18309859154929578,0.1720647773279352,0.1837568058076225,2204,494
447,0.048571084627422684,0.176056338028169,0.18105263157894738,0.18173639226270805,2223,475
340,0.05196714852256287,0.17494440326167532,0.18008474576271186,0.18194070080862534,2226,472
465,0.053433330792667516,0.18532246108228317,0.162,0.18607825295723385,2198,500
97,0.053681296053423616,0.176056338028169,0.17684210526315788,0.18263607737291948,2223,475
354,0.0537653518509246,0.1849518161601186,0.1623246492985972,0.18599363346975897,2199,499
45,0.053861533415080376,0.17902149740548554,0.17184265010351968,0.1837471783295711,2215,483
380,0.05387241364597181,0.17790956263899185,0.18958333333333333,0.17989179440937783,2218,480
385,0.05409614602354432,0.18458117123795403,0.16265060240963855,0.1859090909090909,2200,498
529,0.0541633848366746,0.17865085248332097,0.17219917012448133,0.18366425992779783,2216,482
229,0.05446382864888627,0.17828020756115642,0.17255717255717257,0.18358141632837166,2217,481
492,0.054742257956856444,0.1753150481838399,0.18604651162790697,0.18067415730337077,2225,473
315,0.054984935058058626,0.17679762787249814,0.18867924528301888,0.180099054479964,2221,477
317,0.05509658075918061,0.17420311341734618,0.17872340425531916,0.1822262118491921,2228,470
516,0.05523414905097532,0.18865826538176428,0.15520628683693516,0.187756966651439,2189,509
351,0.055767375780114065,0.17976278724981468,0.16907216494845362,0.184365115228197,2213,485
101,0.05605469539819535,0.18235730170496664,0.16463414634146342,0.18540344514959203,2206,492
289,0.0567255675275376,0.17234988880652335,0.1827956989247312,0.1813703537841469,2233,465
75,0.057297045446392636,0.17790956263899185,0.17083333333333334,0.18394950405770966,2218,480
448,0.05767307336776001,0.17420311341734618,0.17659574468085107,0.1826750448833034,2228,470
132,0.058343248900037864,0.18532246108228317,0.158,0.1869881710646042,2198,500
261,0.0583969360057523,0.17420311341734618,0.18723404255319148,0.18043087971274685,2228,470
