Group,N,Median_predicted_toxic_probability,Probability_Q1,Probability_Q3,Median_max_similarity_all_development,Median_similarity_to_toxic_development,Median_similarity_to_nontoxic_development,Median_toxic_similarity_margin,Outside_AD_N,Outside_AD_percent,Median_kNN_distance
False negative,40,0.293942335,0.1566896925,0.43941238000000005,0.48484848484848486,0.3765182186234818,0.4138127853881278,-0.05596405228758172,1,2.5,2.8312252396993145
True positive,54,0.8538002,0.7597553100000001,0.9210898000000001,0.4257246376811594,0.3798076923076923,0.3416666666666667,0.024763832658569518,2,3.7037037037037033,2.3157678272862716
