Algorithm,Threshold,CV_Folds,Validation,Mean_CV_Accuracy,Std_CV_Accuracy,Mean_CV_BalancedAccuracy,Std_CV_BalancedAccuracy,Mean_CV_Precision_toxic,Std_CV_Precision_toxic,Mean_CV_Recall_toxic,Std_CV_Recall_toxic,Mean_CV_Specificity_non_toxic,Std_CV_Specificity_non_toxic,Mean_CV_F1_toxic,Std_CV_F1_toxic,Mean_CV_MCC,Std_CV_MCC,Mean_CV_ROC_AUC,Std_CV_ROC_AUC,Mean_CV_PR_AUC,Std_CV_PR_AUC,Mean_CV_Brier,Std_CV_Brier,Mean_CV_GO_Precision,Std_CV_GO_Precision,Mean_CV_GO_Recall,Std_CV_GO_Recall,Mean_CV_NO_GO_Precision,Std_CV_NO_GO_Precision,Mean_CV_NO_GO_Recall,Std_CV_NO_GO_Recall,OOF_Accuracy,OOF_BalancedAccuracy,OOF_Precision_toxic,OOF_Recall_toxic,OOF_Specificity_non_toxic,OOF_F1_toxic,OOF_MCC,OOF_Brier,OOF_ROC_AUC,OOF_PR_AUC,OOF_True_GO,OOF_False_NO_GO,OOF_False_GO,OOF_True_NO_GO,OOF_GO_Precision,OOF_GO_Recall,OOF_NO_GO_Precision,OOF_NO_GO_Recall
XGBoost,0.5,5,StratifiedGroupKFold grouped by scaffold,0.693001547241955,0.3882203118373939,0.5776922527412062,0.3240392097291098,0.5333825538412086,0.30516912846761535,0.3988163891228752,0.22802251778569574,0.7565681163595374,0.4232402627179786,0.4544538757040325,0.25708080517178095,0.39984857659060485,0.23042249114138502,0.8379958820627712,0.036121118407369604,0.6128782166862051,0.0490727925013195,0.18451532004210097,0.16688346191741799,0.7178178198242137,0.4019223475880855,0.7565681163595374,0.4232402627179786,0.5333825538412086,0.30516912846761535,0.3988163891228752,0.22802251778569574,0.8570110701107011,0.7095731582187564,0.6472602739726028,0.4772727272727273,0.9418735891647856,0.5494186046511628,0.47439189754575944,0.11727194304641106,0.8255609138791983,0.593812235251308,1669.0,103.0,207.0,189.0,0.8896588486140725,0.9418735891647856,0.6472602739726028,0.4772727272727273
GradientBoosting,0.5,5,StratifiedGroupKFold grouped by scaffold,0.6591769713979673,0.36936186427728934,0.5969544545362813,0.3347338771766713,0.40083898861460066,0.22728642590390227,0.5005957928980024,0.2822682554980083,0.6933131161745602,0.388098167022816,0.4445508576337165,0.2505019835339074,0.36175300844937947,0.20759332256377952,0.8367918975712914,0.035427576364496255,0.6086185701792269,0.04881874217786991,0.17454086983396608,0.11477756400882125,0.7316998880179171,0.40950654358415833,0.6933131161745602,0.388098167022816,0.40083898861460066,0.22728642590390227,0.5005957928980024,0.2822682554980083,0.8150369003690037,0.7358602959618761,0.4948875255623722,0.6111111111111112,0.8606094808126411,0.5468926553672316,0.4360984157064999,0.1299990894376316,0.8276223008869736,0.588753876462605,1525.0,247.0,154.0,242.0,0.9082787373436569,0.8606094808126411,0.4948875255623722,0.6111111111111112
RandomForest,0.5,5,StratifiedGroupKFold grouped by scaffold,0.8875757484956992,0.06766909759309837,0.7113620162489066,0.16444960472629594,0.6047916666666666,0.3418378001292751,0.2387820305140334,0.14658415786831464,0.9839420019837798,0.009990686203077246,0.34100411136549874,0.20253738272366267,0.33251345171301205,0.19844993536543223,0.8340602033900449,0.032103278888454045,0.5960686512368535,0.05240608382514694,0.09050131401687103,0.03553599994502479,0.8934765559436151,0.06422331619366034,0.9839420019837798,0.009990686203077246,0.6047916666666666,0.3418378001292751,0.2387820305140334,0.14658415786831464,0.8514760147601476,0.6306917937843446,0.7466666666666667,0.2828282828282828,0.9785553047404063,0.41025641025641024,0.3979711185802053,0.11005258302583025,0.8269810121531341,0.5811577788412476,1734.0,38.0,284.0,112.0,0.8592666005946482,0.9785553047404063,0.7466666666666667,0.2828282828282828
SVM,0.5,5,StratifiedGroupKFold grouped by scaffold,0.8892134066457251,0.07030384980553979,0.7340492421119084,0.1572107388382188,0.5642188915735428,0.3258857725626968,0.29319407131238917,0.18994014223591715,0.9749044129114276,0.01630316056678453,0.383513041303293,0.23639173365191926,0.35235891910037925,0.22403293288682272,0.8200261688621476,0.0355934172092078,0.5670648872258515,0.06528292937127544,0.10122140842181485,0.020292100983958852,0.9011115256947771,0.0631074881359339,0.9749044129114276,0.01630316056678453,0.5642188915735428,0.3258857725626968,0.29319407131238917,0.18994014223591715,0.8505535055350554,0.6497366440933032,0.6875,0.3333333333333333,0.9661399548532731,0.4489795918367347,0.4072803510760021,0.1120661638919402,0.8101550208632602,0.5453787881028692,1712.0,60.0,264.0,132.0,0.8663967611336032,0.9661399548532731,0.6875,0.3333333333333333
LogisticRegression,0.5,5,StratifiedGroupKFold grouped by scaffold,0.61111411408821,0.34192289469867504,0.5871087245693727,0.33033532945543226,0.31917222895404895,0.17883267760305818,0.54858403653842,0.3181219513728412,0.6256334126003255,0.35006596368281245,0.40173924865945726,0.2256169601291181,0.3085943154996419,0.17813482337431102,0.8056263841896404,0.04709929890385939,0.519259122811742,0.06833286636851409,0.19121064812341979,0.0716704083183922,0.7359015572607255,0.4123566005685527,0.6256334126003255,0.35006596368281245,0.31917222895404895,0.17883267760305818,0.54858403653842,0.3181219513728412,0.7587638376383764,0.7181037234648973,0.4015503875968992,0.6540404040404041,0.7821670428893905,0.49759846301633043,0.36867417606094827,0.16468197648905036,0.794506863214538,0.4905700986842258,1386.0,386.0,137.0,259.0,0.9100459619172685,0.7821670428893905,0.4015503875968992,0.6540404040404041
