Threshold,Precision_toxic,Recall_toxic,F1_toxic
0.2,0.39103362391033625,0.7929292929292929,0.5237698081734778
0.22,0.40813648293963256,0.7853535353535354,0.5371329879101899
0.24,0.4224965706447188,0.7777777777777778,0.5475555555555556
0.26,0.437410071942446,0.7676767676767676,0.5572868927589367
0.27999999999999997,0.453030303030303,0.7550505050505051,0.5662878787878788
0.29999999999999993,0.462992125984252,0.7424242424242424,0.5703200775945684
0.31999999999999995,0.47254575707154745,0.7171717171717171,0.5697091273821464
0.33999999999999997,0.48353552859618715,0.7045454545454546,0.5734840698869476
0.35999999999999993,0.488245931283906,0.6818181818181818,0.5690200210748156
0.3799999999999999,0.4990583804143126,0.6691919191919192,0.5717367853290184
0.3999999999999999,0.5128205128205128,0.6565656565656566,0.5758582502768549
0.41999999999999993,0.5245901639344263,0.6464646464646465,0.579185520361991
0.4399999999999999,0.5317796610169492,0.6338383838383839,0.5783410138248848
0.4599999999999999,0.5530973451327433,0.6313131313131313,0.589622641509434
0.47999999999999987,0.5594405594405595,0.6060606060606061,0.5818181818181818
0.49999999999999983,0.5707317073170731,0.5909090909090909,0.5806451612903226
0.5199999999999998,0.5710659898477157,0.5681818181818182,0.569620253164557
0.5399999999999998,0.578125,0.5606060606060606,0.5692307692307692
0.5599999999999998,0.5989010989010989,0.5505050505050505,0.5736842105263158
0.5799999999999998,0.6063218390804598,0.5328282828282829,0.5672043010752689
0.5999999999999999,0.6142433234421365,0.5227272727272727,0.5648021828103683
0.6199999999999999,0.6357827476038339,0.5025252525252525,0.5613540197461213
0.6399999999999998,0.6418918918918919,0.4797979797979798,0.5491329479768786
0.6599999999999997,0.6466431095406361,0.4621212121212121,0.5390279823269514
0.6799999999999997,0.6617100371747212,0.4494949494949495,0.5353383458646617
0.6999999999999997,0.67578125,0.43686868686868685,0.5306748466257669
0.7199999999999998,0.7124463519313304,0.41919191919191917,0.5278219395866455
0.7399999999999998,0.7162790697674418,0.3888888888888889,0.5040916530278232
0.7599999999999998,0.7128712871287128,0.36363636363636365,0.4816053511705686
0.7799999999999998,0.7333333333333333,0.3333333333333333,0.4583333333333333
0.7999999999999996,0.7409638554216867,0.3106060606060606,0.4377224199288256
