Method,Threshold,Accuracy,BalancedAccuracy,Precision_toxic,Recall_toxic,Specificity_non_toxic,F1_toxic,MCC,Brier,ROC_AUC,PR_AUC,True_GO,False_NO_GO,False_GO,True_NO_GO,GO_Precision,GO_Recall,NO_GO_Precision,NO_GO_Recall
scale_pos_weight,0.5599999999999998,0.8505535055350554,0.7340561369906742,0.5989010989010989,0.5505050505050505,0.917607223476298,0.5736842105263158,0.483905459437156,0.11389122650786322,0.8425450897234192,0.6178357853254901,1626,146,178,218,0.9013303769401331,0.917607223476298,0.5989010989010989,0.5505050505050505
SMOTE,0.5599999999999998,0.8523985239852399,0.7067514877898625,0.6258278145695364,0.4772727272727273,0.9362302483069977,0.5415472779369628,0.4614225337567494,0.11032337072191503,0.8425222883462161,0.607454064454859,1659,113,207,189,0.8890675241157556,0.9362302483069977,0.6258278145695364,0.4772727272727273
ADASYN,0.5599999999999998,0.8500922509225092,0.7053406525754156,0.6156351791530945,0.4772727272727273,0.9334085778781038,0.5376955903271693,0.45513686209975085,0.11054246314336404,0.842435358095629,0.5964933813693939,1654,118,207,189,0.8887694787748522,0.9334085778781038,0.6156351791530945,0.4772727272727273
